handled_by_employee_id,num_loans_handled,off_hours_access_events,bulk_download_events,avg_cashflow_volatility,avg_overdraft_count,bad_loans_handled,anomaly_flag,anomaly_score
EMP1000,69,6,1,3061.761884057971,0.5797101449275363,1,0,0.48321081359676243
EMP1001,75,3,2,3166.2762666666667,0.84,1,0,0.4113032563559669
EMP1002,72,3,2,2936.133333333333,0.9305555555555556,3,0,0.45704890729437997
EMP1003,78,2,0,3029.353205128205,0.7564102564102564,1,0,0.4454443822971116
EMP1004,58,8,0,2744.9824137931037,0.7241379310344828,2,0,0.505635030162852
EMP1005,81,5,2,3217.513086419753,0.7654320987654321,1,0,0.4181277436193573
EMP1006,63,6,0,2992.183333333333,0.5873015873015873,2,0,0.5051419118522962
EMP1007,60,4,3,2647.7703333333334,0.7333333333333333,0,0,0.43528614713212843
EMP1008,63,4,2,3288.2115873015873,0.746031746031746,0,0,0.43025462783259955
EMP1009,58,3,1,3032.8524137931036,0.6551724137931034,3,0,0.4675750102013937
EMP1010,55,4,0,2984.5061818181816,0.8727272727272727,1,0,0.4254501174228825
EMP1011,77,4,2,2643.980779220779,0.8831168831168831,2,0,0.4509227110420271
EMP1012,78,5,3,2903.7634615384613,0.8461538461538461,3,0,0.45600736601191505
EMP1013,63,3,0,2602.5844444444447,0.6984126984126984,3,0,0.5225144712741959
EMP1014,74,4,3,3002.2121621621623,0.7837837837837838,0,0,0.41233177082144423
EMP1015,73,8,2,3131.86397260274,0.684931506849315,2,0,0.47859504584049434
EMP1016,65,4,0,2728.283076923077,0.6923076923076923,1,0,0.4415938373661443
EMP1017,76,6,1,3271.637894736842,0.868421052631579,4,0,0.5084451824288643
EMP1018,70,4,4,3080.579142857143,0.7571428571428571,2,0,0.45933069978841123
EMP1019,85,5,6,2780.1463529411767,0.7294117647058823,1,0,0.5282995289998338
EMP1020,59,4,4,2824.7601694915256,0.7288135593220338,1,0,0.4348718351114889
EMP1021,83,6,0,3230.326385542169,0.6867469879518072,1,0,0.46877995725956734
EMP1022,66,4,4,2814.0159090909087,0.7727272727272727,0,0,0.4330670069091337
EMP1023,78,3,1,2575.628205128205,0.8076923076923077,0,0,0.45515969614216967
EMP1024,66,3,2,3050.938181818182,0.7121212121212122,3,0,0.449755497299548
EMP1025,65,3,3,2739.0903076923078,0.7538461538461538,1,0,0.42789807376352396
EMP1026,69,5,2,3122.627536231884,0.6956521739130435,2,0,0.4286708137593374
EMP1027,66,7,2,2734.659696969697,0.8484848484848485,0,0,0.481353960366564
EMP1028,65,1,2,3251.5089230769227,0.6615384615384615,2,0,0.4826018200265071
EMP1029,76,8,4,3308.9861842105265,1.0657894736842106,0,1,0.598895438682537
EMP1030,56,4,0,2947.749107142857,0.875,3,0,0.44952972265117447
EMP1031,68,5,1,2629.668970588235,0.75,0,0,0.43665207658046434
EMP1032,59,5,0,3195.582542372881,0.9322033898305084,6,1,0.6026079589102068
EMP1033,63,5,0,3109.6280952380953,1.0158730158730158,0,0,0.5025453909998084
EMP1034,62,5,3,2905.32935483871,0.7903225806451613,2,0,0.4201400270011436
EMP1035,79,5,2,2833.44,0.8987341772151899,2,0,0.42829356409968017
EMP1036,78,6,3,3206.8005128205127,0.6410256410256411,2,0,0.47581923504354445
EMP1037,58,4,1,3056.1265517241377,0.8103448275862069,0,0,0.41074761225841183
EMP1038,71,7,1,3286.9571830985915,1.0985915492957747,1,0,0.5495279815910337
EMP1039,66,4,0,3267.961515151515,0.7727272727272727,0,0,0.4431289933122179
EMP1040,80,6,2,2991.98325,0.8875,3,0,0.46136413502011164
EMP1041,63,6,4,2965.1322222222225,0.8095238095238095,0,0,0.46358414634691103
EMP1042,64,5,0,3550.396875,0.71875,0,0,0.5175915437408843
EMP1043,59,5,3,2899.8957627118643,0.847457627118644,0,0,0.42609199746717963
EMP1044,52,4,2,2663.7896153846154,0.8076923076923077,2,0,0.434462696014858
EMP1045,60,1,0,3181.2816666666668,0.9666666666666667,3,0,0.534821189874634
EMP1046,70,4,2,3262.9575714285716,0.9285714285714286,1,0,0.42911444698972356
